model,output,flag,username,timestamp
flagged\model\eb6f829491682c6d4153\_0_1225631.jpg,"{""label"": null, ""confidences"": null}",,,2024-04-19 22:52:09.924826
flagged\image\a8c327a27a287c426167\_0_1225631.jpg,"{""label"": null, ""confidences"": null}",,,2024-04-19 23:17:35.611785
